home_team,game_date,umpire
BAL,2023-04-08,Roberto Ortiz
BAL,2023-04-09,Bill Miller
BAL,2023-04-10,Malachi Moore
BAL,2023-04-11,Mark Wegner
BAL,2023-04-12,Bruce Dreckman
BAL,2023-04-13,Stu Scheurwater
BAL,2023-04-21,Brock Ballou
BAL,2023-04-22,Vic Carapazza
BAL,2023-04-23,Nick Mahrley
BAL,2023-04-24,Junior Valentine
BAL,2023-04-25,Adrian Johnson
BAL,2023-04-26,Manny Gonzalez
BAL,2023-05-08,Todd Tichenor
BAL,2023-05-09,Brian Knight
BAL,2023-05-10,Alex Tosi
BAL,2023-05-12,James Hoye
BAL,2023-05-13,D.J. Reyburn
BAL,2023-05-14,John Libka
BAL,2023-05-15,Brian O'Nora
BAL,2023-05-16,Pat Hoberg
BAL,2023-05-17,Emil Jimenez
BAL,2023-05-18,Nestor Ceja
BAL,2023-05-26,Jordan Baker
BAL,2023-05-27,Brennan Miller
BAL,2023-05-28,Mark Carlson
BAL,2023-05-29,Doug Eddings
BAL,2023-05-30,Alfonso Márquez
BAL,2023-05-31,Ramon D
BAL,2023-06-09,Scott Barry
BAL,2023-06-10,Gabe Morales
BAL,2023-06-11,Adam Beck
BAL,2023-06-13,Ron Kulpa
BAL,2023-06-14,Junior Valentine
BAL,2023-06-15,Carlos Torres
BAL,2023-06-23,Pat Hoberg
BAL,2023-06-24,Jacob Metz
BAL,2023-06-25,Nestor Ceja
BAL,2023-06-26,Ryan Additon
BAL,2023-06-27,Dan Merzel
BAL,2023-06-28,Will Little
BAL,2023-06-30,Erich Bacchus
BAL,2023-07-01,Andy Fletcher
BAL,2023-07-02,Mike Estabrook
BAL,2023-07-14,John Libka
BAL,2023-07-15,James Hoye
BAL,2023-07-16,D.J. Reyburn
BAL,2023-07-17,David Rackley
BAL,2023-07-18,Chris Guccione
BAL,2023-07-19,Edwin Moscoso
BAL,2023-07-28,Shane Livensparger
BAL,2023-07-29,Dan Bellino
BAL,2023-07-30,Phil Cuzzi
BAL,2023-08-04,Charlie Ramos
BAL,2023-08-05,Nic Lentz
BAL,2023-08-06,Jeremie Rehak
BAL,2023-08-08,Chris Guccione
BAL,2023-08-09,Edwin Moscoso
BAL,2023-08-10,David Rackley
BAL,2023-08-22,Gabe Morales
BAL,2023-08-23,Adam Beck
BAL,2023-08-24,Dan Iassogna
BAL,2023-08-25,Mark Ripperger
BAL,2023-08-26,Manny Gonzalez
BAL,2023-08-27,Dan Bellino
BAL,2023-08-28,Ron Kulpa
BAL,2023-08-29,Cory Blaser
BAL,2023-08-30,Carlos Torres
BAL,2023-09-11,Alan Porter
BAL,2023-09-12,Nate Tomlinson
BAL,2023-09-13,Sean Barber
BAL,2023-09-14,Nick Mahrley
BAL,2023-09-15,Vic Carapazza
BAL,2023-09-16,Adam Hamari
BAL,2023-09-17,Clint Vondrak
BAL,2023-09-26,Vic Carapazza
BAL,2023-09-27,Nick Mahrley
BAL,2023-09-28,Jim Wolf
BAL,2023-09-29,Alan Porter
BAL,2023-09-30,Mike Muchlinski
BAL,2023-10-01,Sean Barber
BOS,2023-03-30,Lance Barksdale
BOS,2023-04-01,Will Little
BOS,2023-04-02,Ryan Additon
BOS,2023-04-03,Adam Beck
BOS,2023-04-04,Dan Iassogna
BOS,2023-04-05,Scott Barry
BOS,2023-04-14,Ron Kulpa
BOS,2023-04-15,Cory Blaser
BOS,2023-04-16,Carlos Torres
BOS,2023-04-17,Jansen Visconti
BOS,2023-04-18,Jordan Baker
BOS,2023-04-19,Tripp Gibson
BOS,2023-04-20,Brennan Miller
BOS,2023-04-28,Chris Segal
BOS,2023-04-29,Ben May
BOS,2023-04-30,Jeff Nelson
BOS,2023-05-01,Dan Merzel
BOS,2023-05-02,Lance Barksdale
BOS,2023-05-03,Will Little
BOS,2023-05-04,Ryan Additon
BOS,2023-05-12,Nick Mahrley
BOS,2023-05-13,Derek Thomas
BOS,2023-05-14,Vic Carapazza
BOS,2023-05-15,Erich Bacchus
BOS,2023-05-16,Laz Diaz
BOS,2023-05-17,Mike Estabrook
BOS,2023-05-30,Sean Barber
BOS,2023-05-31,Alan Porter
BOS,2023-06-01,Jim Wolf
